Dataset,Model,Percent,Trial,Accuracy,Time
0,0,10,0,53.333333333333336,0.8182000000003242
0,0,10,1,53.333333333333336,0.5958000000001462
0,0,10,2,53.333333333333336,0.5876000000002435
0,0,10,3,46.666666666666664,0.5816999999996852
0,0,10,4,53.333333333333336,0.5236999999995717
0,1,10,0,60.0,1.2362000000001316
0,1,10,1,60.0,0.42589999999975703
0,1,10,2,60.0,0.7380000000001274
0,1,10,3,60.0,0.6567000000003986
0,1,10,4,60.0,0.6415000000004056
0,2,10,0,40.0,5.342100000000016
0,2,10,1,66.66666666666667,3.214500000000342
0,2,10,2,33.333333333333336,4.201300000000074
0,2,10,3,33.333333333333336,3.2823000000004043
0,2,10,4,60.0,3.639100000000006
0,0,20,0,66.66666666666667,1.6550000000004061
0,0,20,1,60.0,1.0989999999999611
0,0,20,2,63.33333333333333,1.074400000000253
0,0,20,3,50.0,1.4795999999996923
0,0,20,4,73.33333333333334,1.1409000000002223
0,1,20,0,70.0,0.7782000000000622
0,1,20,1,70.0,0.7463999999997029
0,1,20,2,70.0,0.9420000000002204
0,1,20,3,70.0,1.0158000000002332
0,1,20,4,70.0,0.7403000000003601
0,2,20,0,56.666666666666664,7.233500000000781
0,2,20,1,46.666666666666664,6.651599999999647
0,2,20,2,60.0,6.411100000000225
0,2,20,3,73.33333333333334,7.301799999999581
0,2,20,4,56.666666666666664,6.765099999999968
0,0,30,0,57.77777777777777,2.794699999999928
0,0,30,1,55.55555555555556,1.7189000000001897
0,0,30,2,57.77777777777777,1.843500000000553
0,0,30,3,71.11111111111111,1.2900000000000134
0,0,30,4,66.66666666666667,1.2750999999999735
0,1,30,0,82.22222222222221,1.6036999999995416
0,1,30,1,82.22222222222221,1.8529999999996605
0,1,30,2,82.22222222222221,1.2840000000000629
0,1,30,3,82.22222222222221,1.1201999999999046
0,1,30,4,82.22222222222221,1.686199999999971
0,2,30,0,57.77777777777777,11.90720000000045
0,2,30,1,60.0,10.719299999999876
0,2,30,2,57.77777777777777,10.16130000000004
0,2,30,3,55.55555555555556,12.06010000000024
0,2,30,4,66.66666666666667,12.425600000000259
0,0,40,0,63.33333333333333,2.317399999999914
0,0,40,1,75.0,1.7946000000002016
0,0,40,2,66.66666666666667,2.051500000000317
0,0,40,3,71.66666666666667,1.8739999999999313
0,0,40,4,63.33333333333333,1.861400000000124
0,1,40,0,85.0,2.3146000000000555
