Dataset,Model,Percent,Trial,Accuracy,Time
0,0,10,0,46.666666666666664,0.9152999999999523
0,0,10,1,66.66666666666667,1.1212000000000444
0,0,10,2,53.333333333333336,0.44090000000007734
0,0,10,3,60.0,0.6935999999999609
0,0,10,4,46.666666666666664,0.5698000000000647
0,1,10,0,60.0,0.5431000000002406
0,1,10,1,60.0,0.5855999999999639
0,1,10,2,60.0,0.3874999999999851
0,1,10,3,60.0,0.37980000000015224
0,1,10,4,60.0,0.37559999999992044
0,2,10,0,40.0,4.138900000000056
0,2,10,1,53.333333333333336,3.1870999999998872
0,2,10,2,46.666666666666664,3.3322000000000074
0,2,10,3,60.0,3.2722999999998947
0,2,10,4,60.0,3.465400000000063
0,0,20,0,63.33333333333333,2.040000000000042
0,0,20,1,76.66666666666666,0.9630000000000472
0,0,20,2,76.66666666666666,0.8620000000001404
0,0,20,3,50.0,0.8940000000001724
0,0,20,4,53.333333333333336,0.8741999999997141
0,1,20,0,70.0,1.6135999999997708
0,1,20,1,70.0,0.7426000000001487
0,1,20,2,70.0,0.7465999999998196
0,1,20,3,70.0,0.8850000000002467
0,1,20,4,70.0,0.7750999999998065
0,2,20,0,43.333333333333336,7.163699999999995
0,2,20,1,66.66666666666667,6.901199999999719
0,2,20,2,53.333333333333336,6.409499999999735
0,2,20,3,36.66666666666667,7.114899999999924
0,2,20,4,66.66666666666667,6.2429999999999986
0,0,30,0,60.0,1.9664999999999822
0,0,30,1,64.44444444444444,1.6035999999997053
0,0,30,2,64.44444444444444,1.5863999999998768
0,0,30,3,60.0,1.8309000000003017
0,0,30,4,55.55555555555556,2.1029000000001297
0,1,30,0,82.22222222222221,2.0009999999999195
0,1,30,1,82.22222222222221,1.784300000000183
0,1,30,2,82.22222222222221,1.5856000000002979
0,1,30,3,82.22222222222221,1.1396999999999657
0,1,30,4,82.22222222222221,1.179200000000158
0,2,30,0,55.55555555555556,10.341100000000214
0,2,30,1,53.333333333333336,9.655099999999806
0,2,30,2,77.77777777777779,9.787699999999955
0,2,30,3,60.0,10.11020000000018
0,2,30,4,64.44444444444444,9.87619999999989
0,0,40,0,63.33333333333333,2.96379999999985
0,0,40,1,61.66666666666667,2.10940000000015
0,0,40,2,71.66666666666667,2.447300000000041
0,0,40,3,70.0,2.0484999999998976
0,0,40,4,66.66666666666667,2.032000000000256
0,1,40,0,85.0,4.652300000000054
0,1,40,1,85.0,1.773899999999884
0,1,40,2,85.0,1.4772000000000673
0,1,40,3,85.0,2.2204999999999586
0,1,40,4,85.0,1.7980000000004104
0,2,40,0,56.666666666666664,15.4223
0,2,40,1,50.0,13.578400000000101
0,2,40,2,56.666666666666664,12.823699999999771
0,2,40,3,56.666666666666664,12.866100000000102
0,2,40,4,53.333333333333336,12.69039999999988
0,0,50,0,88.0,3.5243000000000357
0,0,50,1,80.0,2.3145999999996114
0,0,50,2,82.66666666666667,2.442999999999973
0,0,50,3,68.0,2.2766999999999094
0,0,50,4,73.33333333333334,2.070500000000308
0,1,50,0,84.0,2.8015999999997376
0,1,50,1,84.0,1.947799999999944
0,1,50,2,84.0,1.9409000000001342
0,1,50,3,84.0,1.7964999999997566
0,1,50,4,84.0,1.8055000000001264
0,2,50,0,64.0,17.227300000000056
0,2,50,1,78.66666666666666,16.666800000000315
0,2,50,2,61.33333333333333,16.341300000000114
0,2,50,3,60.0,17.111499999999946
0,2,50,4,58.666666666666664,16.056499999999918
0,0,60,0,77.77777777777779,3.085400000000238
0,0,60,1,81.11111111111111,4.9040000000002415
0,0,60,2,85.55555555555556,2.621900000000288
0,0,60,3,76.66666666666666,3.4383999999998416
0,0,60,4,84.44444444444444,2.9865999999998394
0,1,60,0,83.33333333333334,2.8326999999999103
0,1,60,1,83.33333333333334,2.2469000000002737
0,1,60,2,83.33333333333334,2.4058000000000135
0,1,60,3,83.33333333333334,2.7468999999999966
0,1,60,4,83.33333333333334,2.210500000000337
0,2,60,0,76.66666666666666,20.496800000000093
0,2,60,1,67.77777777777779,19.66979999999996
0,2,60,2,60.0,19.494400000000134
0,2,60,3,68.88888888888889,21.481000000000083
0,2,60,4,78.88888888888889,19.997899999999902
0,0,70,0,86.66666666666667,4.078799999999827
0,0,70,1,80.95238095238095,3.0178999999996847
0,0,70,2,84.76190476190476,3.0632000000001547
0,0,70,3,82.85714285714285,3.2697999999999894
0,0,70,4,87.61904761904762,2.985400000000027
0,1,70,0,83.80952380952381,3.13870000000005
0,1,70,1,83.80952380952381,2.8885000000000716
0,1,70,2,83.80952380952381,2.5372999999997425
0,1,70,3,83.80952380952381,2.650000000000041
0,1,70,4,83.80952380952381,2.503599999999828
0,2,70,0,60.952380952380956,27.65139999999988
0,2,70,1,60.952380952380956,23.08319999999986
0,2,70,2,67.61904761904762,21.961700000000306
0,2,70,3,55.23809523809524,21.958500000000214
0,2,70,4,67.61904761904762,23.351700000000086
0,0,80,0,80.83333333333333,5.1506999999997305
0,0,80,1,76.66666666666666,3.2510999999999513
0,0,80,2,85.0,5.9222000000001
0,0,80,3,76.66666666666666,3.4331000000000778
0,0,80,4,84.16666666666667,3.8521999999998613
0,1,80,0,85.0,3.681999999999963
0,1,80,1,85.0,2.9718999999999163
0,1,80,2,85.0,3.3346999999999127
0,1,80,3,85.0,3.0013000000002066
0,1,80,4,85.0,3.0688000000003157
0,2,80,0,70.0,26.64909999999976
0,2,80,1,69.16666666666667,27.836900000000053
0,2,80,2,73.33333333333334,31.614400000000042
0,2,80,3,65.0,26.307999999999776
0,2,80,4,66.66666666666667,28.01079999999967
0,0,90,0,85.18518518518519,6.426599999999727
0,0,90,1,85.18518518518519,3.8610999999999507
0,0,90,2,78.51851851851852,3.8098999999998107
0,0,90,3,71.11111111111111,3.7175999999998766
0,0,90,4,85.18518518518519,5.272699999999908
0,1,90,0,85.92592592592592,4.068800000000206
0,1,90,1,85.92592592592592,3.4434000000000964
0,1,90,2,85.92592592592592,4.0151999999999965
0,1,90,3,85.92592592592592,3.7359999999999616
0,1,90,4,85.92592592592592,3.3357000000000525
0,2,90,0,74.81481481481482,30.471299999999868
0,2,90,1,75.55555555555556,29.166399999999815
0,2,90,2,81.4814814814815,29.66430000000031
0,2,90,3,68.88888888888889,30.618800000000057
